precision,recall,accuracy,AP,AUC,CLL,HRcora_new_ind_1
,,,,,,
cora_new_ind,,,,,,
0.5,1,0.624831309041835,0.5,0.25,-5.412804,0
IMDB_new_ind_69,,,,,,
0.5,1,0.624831309041835,0.666666666666667,0.333333333333333,-7.4613676,0.5
IMDB_new_ind_70,,,,,,
0,0,0.624831309041835,0.416666666666667,0,-6.1120906,0
IMDB_new_ind_71,,,,,,
0,0,0.624831309041835,0.5,0,-5.136447,0
IMDB_new_ind_72,,,,,,
0.5,1,0.624831309041835,0.416666666666667,0,-5.747136,0
IMDB_new_ind_73,,,,,,
0.5,1,0.624831309041835,0.416666666666667,0.125,-5.6335874,0
IMDB_new_ind_74,,,,,,
0.5,1,0.624831309041835,0.833333333333333,0.875,-4.6301117,1
IMDB_new_ind_75,,,,,,
0.5,1,0.624831309041835,0.75,0.5,-4.687358,1
IMDB_new_ind_76,,,,,,
0.5,1,0.624831309041835,0.444444444444444,0.222222222222222,-7.2548356,0
IMDB_new_ind_77,,,,,,
0.5,1,0.624831309041835,0.416666666666667,0.125,-4.760087,0
IMDB_new_ind_78,,,,,,
0.5,1,0.624831309041835,0.5,0.375,-5.5726566,0
IMDB_new_ind_79,,,,,,
0.5,1,0.624831309041835,0.5,0.375,-3.8400683,0
IMDB_new_ind_80,,,,,,
0.5,1,0.624831309041835,0.5,0,-5.63003,0
IMDB_new_ind_81,,,,,,
0.5,1,0.624831309041835,0.416666666666667,0,-5.747136,0
IMDB_new_ind_82,,,,,,
0,0,0.624831309041835,0.5,0,-6.8756695,0
IMDB_new_ind_83,,,,,,
0,0,0.624831309041835,0.5,0,-6.174374,0
IMDB_new_ind_84,,,,,,
0.5,1,0.624831309041835,0.5,0,-4.7813196,0
IMDB_new_ind_85,,,,,,
0.5,1,0.624831309041835,0.416666666666667,0.125,-4.760087,0
IMDB_new_ind_86,,,,,,
0.5,1,0.624831309041835,0.5,0,-4.7813196,0
IMDB_new_ind_87,,,,,,
0.5,1,0.624831309041835,0.75,0.5,-4.687358,1
IMDB_new_ind_88,,,,,,
0,0,0.624831309041835,0.416666666666667,0,-6.407771,0
IMDB_new_ind_89,,,,,,
0.5,1,0.624831309041835,0.75,0.5,-4.687358,1
IMDB_new_ind_90,,,,,,
0.5,1,0.624831309041835,0.5,0,-4.7813196,0
IMDB_new_ind_91,,,,,,
0.333333333333333,0.5,0.624831309041835,0.75,0.5,-4.2198367,1
IMDB_new_ind_92,,,,,,
0.5,1,0.624831309041835,0.5,0.5,-3.6680214,0
IMDB_new_ind_93,,,,,,
0.5,1,0.624831309041835,0.416666666666667,0,-5.5605497,0
IMDB_new_ind_94,,,,,,
0.5,1,0.624831309041835,1,1,-4.6097345,1
IMDB_new_ind_95,,,,,,
0,0,0.624831309041835,0.416666666666667,0,-6.1120906,0
IMDB_new_ind_96,,,,,,
0.5,1,0.624831309041835,0.416666666666667,0,-5.747136,0
IMDB_new_ind_97,,,,,,
0.5,1,0.624831309041835,0.833333333333333,0.75,-3.487072,1
IMDB_new_ind_98,,,,,,
0.5,1,0.624831309041835,0.833333333333333,0.875,-4.6301117,1
IMDB_new_ind_99,,,,,,
0.333333333333333,0.333333333333333,0.624831309041835,0.566666666666667,0.5,-6.4726334,0.5
IMDB_new_ind_100,,,,,,
0.5,1,0.624831309041835,0.833333333333333,0.75,-3.487072,1
citeseer_new_ind_1,,,,,,
1,0.5,0.639949109414758,0.75,0.625,-2.7872436,1
citeseer_new_ind_2,,,,,,
0,0,0.639949109414758,0.416666666666667,0.125,-3.6568036,0
citeseer_new_ind_3,,,,,,
0,0,0.639949109414758,0.383333333333333,0.111111111111111,-5.2222023,0
citeseer_new_ind_4,,,,,,
0.5,0.5,0.639949109414758,0.5,0.375,-3.67203,0
citeseer_new_ind_5,,,,,,
0,0,0.639949109414758,0.5,0.375,-3.3495977,0
citeseer_new_ind_6,,,,,,
0,0,0.639949109414758,0.416666666666667,0.125,-3.556523,0
citeseer_new_ind_7,,,,,,
0,0,0.639949109414758,0.5,0.25,-3.9870005,0
citeseer_new_ind_8,,,,,,
0,0,0.639949109414758,0.583333333333333,0.625,-3.0353122,0
citeseer_new_ind_9,,,,,,
0,0,0.639949109414758,0.416666666666667,0.125,-3.9755523,0
citeseer_new_ind_10,,,,,,
0,0,0.639949109414758,0.5,0.5,-6.2006674,0
citeseer_new_ind_11,,,,,,
0,0,0.639949109414758,0.583333333333333,0.5,-3.2268145,0
citeseer_new_ind_12,,,,,,
0,0,0.639949109414758,0.383333333333333,0.111111111111111,-4.5916133,0
citeseer_new_ind_13,,,,,,
1,0.333333333333333,0.639949109414758,0.722222222222222,0.666666666666667,-3.733493,1
citeseer_new_ind_14,,,,,,
0,0,0.639949109414758,0.5,0.375,-3.2918355,0
citeseer_new_ind_15,,,,,,
0.666666666666667,1,0.639949109414758,0.583333333333333,0.625,-2.5699568,0
citeseer_new_ind_16,,,,,,
0,0,0.639949109414758,0.5,0.5,-3.1003335,0
citeseer_new_ind_17,,,,,,
0.5,0.5,0.639949109414758,0.5,0.5,-3.2990215,0
citeseer_new_ind_18,,,,,,
0,0,0.639949109414758,0.416666666666667,0.125,-3.9755523,0
citeseer_new_ind_19,,,,,,
0,0,0.639949109414758,0.75,0.625,-2.844282,0
citeseer_new_ind_20,,,,,,
0,0,0.639949109414758,0.416666666666667,0.125,-3.556523,0
citeseer_new_ind_21,,,,,,
0,0,0.639949109414758,0.416666666666667,0.125,-3.556523,0
citeseer_new_ind_22,,,,,,
0,0,0.639949109414758,0.416666666666667,0.125,-3.556523,0
citeseer_new_ind_23,,,,,,
0,0,0.639949109414758,0.5,0.25,-3.360555,0
citeseer_new_ind_24,,,,,,
0.5,1,0.639949109414758,0.833333333333333,0.75,-3.1624234,1
citeseer_new_ind_25,,,,,,
0.5,1,0.639949109414758,0.583333333333333,0.625,-4.3045387,0
citeseer_new_ind_26,,,,,,
0.5,0.5,0.639949109414758,0.5,0.375,-3.6361694,0
citeseer_new_ind_27,,,,,,
0,0,0.639949109414758,0.5,0.25,-3.4907813,0
citeseer_new_ind_28,,,,,,
0,0,0.639949109414758,0.5,0.375,-3.42576,0
citeseer_new_ind_29,,,,,,
0,0,0.639949109414758,0.5,0.25,-3.4907813,0
citeseer_new_ind_30,,,,,,
1,0.5,0.639949109414758,0.75,0.625,-2.824473,1
citeseer_new_ind_31,,,,,,
1,0.5,0.639949109414758,0.75,0.625,-2.1071267,1
citeseer_new_ind_32,,,,,,
0,0,0.639949109414758,0.5,0.25,-2.9995155,0
citeseer_new_ind_33,,,,,,
0,0,0.639949109414758,0.5,0.375,-3.6261241,0
citeseer_new_ind_34,,,,,,
0.5,0.5,0.639949109414758,0.583333333333333,0.625,-3.1457202,0
citeseer_new_ind_35,,,,,,
0,0,0.639949109414758,0.5,0.375,-3.2918355,0
citeseer_new_ind_36,,,,,,
0,0,0.639949109414758,0.5,0.25,-3.4907813,0
citeseer_new_ind_37,,,,,,
0,0,0.639949109414758,0.5,0.375,-3.2918355,0
citeseer_new_ind_38,,,,,,
0,0,0.639949109414758,0.75,0.625,-3.075068,0
citeseer_new_ind_39,,,,,,
1,0.5,0.639949109414758,0.75,0.625,-2.774194,1
citeseer_new_ind_40,,,,,,
0,0,0.639949109414758,0.5,0.25,-2.9995155,0
citeseer_new_ind_41,,,,,,
1,0.5,0.639949109414758,0.75,0.625,-2.2038012,1
citeseer_new_ind_42,,,,,,
0.5,1,0.639949109414758,0.5,0.375,-3.7599266,0
citeseer_new_ind_43,,,,,,
0,0,0.639949109414758,0.5,0.25,-3.4907813,0
citeseer_new_ind_44,,,,,,
0,0,0.639949109414758,0.633333333333333,0.444444444444444,-4.3964396,0
citeseer_new_ind_45,,,,,,
0,0,0.639949109414758,0.5,0.5,-3.1003335,0
citeseer_new_ind_46,,,,,,
0,0,0.639949109414758,0.555555555555556,0.5,-5.0597334,0
citeseer_new_ind_47,,,,,,
0,0,0.639949109414758,0.5,0.375,-3.42576,0
citeseer_new_ind_48,,,,,,
1,0.5,0.639949109414758,0.75,0.625,-2.3786714,1
citeseer_new_ind_49,,,,,,
0,0,0.639949109414758,0.5,0.25,-3.4907813,0
citeseer_new_ind_50,,,,,,
0,0,0.639949109414758,0.5,0.25,-3.4907813,0
citeseer_new_ind_51,,,,,,
0,0,0.639949109414758,0.5,0.25,-3.4907813,0
citeseer_new_ind_52,,,,,,
0,0,0.639949109414758,0.5,0.25,-2.9995155,0
citeseer_new_ind_53,,,,,,
0,0,0.639949109414758,0.5,0.5,-3.1003335,0
citeseer_new_ind_54,,,,,,
0,0,0.639949109414758,0.416666666666667,0.125,-3.556523,0
citeseer_new_ind_55,,,,,,
0,0,0.639949109414758,0.5,0.375,-3.6261241,0
citeseer_new_ind_56,,,,,,
0,0,0.639949109414758,0.5,0.25,-3.3603392,0
citeseer_new_ind_57,,,,,,
0,0,0.639949109414758,0.5,0.25,-3.4907813,0
citeseer_new_ind_58,,,,,,
